serie_name,scale
carbonemission,"d,s"
commuteofftimecost,"d,s"
commutetotimecost,"d,s"
energycosttranspkmcng,"d,s"
energycosttranspkmds,"d,s"
energycosttranspkmele,"d,s"
energycosttranspkmptr,"d,s"
jamindex,r
jamspeedavg,r
jamspeedmorning,r
jamspeednight,r
jamspeednormal,r
jobcount,"d,s"
jobdensity,"d,s"
jobhouseratio,"d,s"
landusearea,"d,s"
popcount,"d,g,s"
popdensity,d
transattcvolume,"d,g"
transdist,"d,s"
transflow,"d,r,s"
transflowavg,r
transflowmorning,r
transflownight,r
transflownormal,r
transgenvolume,"d,g"
transvolumebasedhome,d
tripcmpcost,"d,s"
tripfeecost,"d,s"
triptimecost,"d,s"
vehicleequiv,r
